parcelle;zone;date;time;sequence;ins-7;pl-7;hr-7;t-7;s;ac;ac_m;var_s;var_ac;var_ac_m
SAU;anjou;22/09/1997;4.0;14.0;52.1;92.0;65.79;19.121428571428602;214.8;4.5;3.95;18.30000000000001;-1.25;-0.39999999999999947
SAU;anjou;29/09/1997;5.0;14.0;55.0;0.0;65.5;17.6428571428571;226.4;3.95;2.66;11.599999999999994;-0.5499999999999998;-1.29
SAU;anjou;06/10/1997;6.0;14.0;42.2;4.5;74.07;16.8571428571429;231.1;3.75;2.56;4.699999999999989;-0.20000000000000018;-0.10000000000000009
VAL;anjou;01/09/1997;1.0;15.0;29.9;22.5;81.14;18.5;164.8;7.45;6.18;NA;NA;NA
VAL;anjou;08/09/1997;2.0;15.0;49.3;0.0;75.43;17.1285714285714;189.7;5.77;4.3;24.899999999999977;-1.6800000000000006;-1.88
VAL;anjou;15/09/1997;3.0;15.0;52.0;0.5;72.29;15.6;211.4;5.1;3.52;21.700000000000017;-0.6699999999999999;-0.7799999999999998
VAL;anjou;22/09/1997;4.0;15.0;52.1;92.0;65.79;19.121428571428602;233.4;4.2;3.16;22.0;-0.8999999999999995;-0.3599999999999999
VAL;anjou;29/09/1997;5.0;15.0;55.0;0.0;65.5;17.6428571428571;250.7;4.05;2.18;17.299999999999983;-0.15000000000000036;-0.98
VAL;anjou;06/10/1997;6.0;15.0;42.2;4.5;74.07;16.8571428571429;260.1;3.7;1.98;9.400000000000034;-0.34999999999999964;-0.20000000000000018
BLO;anjou;08/09/1997;2.0;16.0;49.3;0.0;75.43;17.1285714285714;155.9;9.6;8.52;NA;NA;NA
BLO;anjou;15/09/1997;3.0;16.0;52.0;0.5;72.29;15.6;179.4;8.7;6.55;23.5;-0.9000000000000004;-1.9699999999999998
BLO;anjou;22/09/1997;4.0;16.0;52.1;92.0;65.79;19.121428571428602;201.1;6.6;5.41;21.69999999999999;-2.0999999999999996;-1.1399999999999997
BLO;anjou;29/09/1997;5.0;16.0;55.0;0.0;65.5;17.6428571428571;219.5;5.9;3.83;18.400000000000006;-0.6999999999999993;-1.58
BLO;anjou;06/10/1997;6.0;16.0;42.2;4.5;74.07;16.8571428571429;239.3;5.35;3.67;19.80000000000001;-0.5500000000000007;-0.16000000000000014
BOR;anjou;15/09/1997;3.0;17.0;52.0;0.5;72.29;15.6;183.9;9.3;7.38;NA;NA;NA
BOR;anjou;22/09/1997;4.0;17.0;52.1;92.0;65.79;19.121428571428602;202.2;7.05;5.64;18.299999999999983;-2.250000000000001;-1.7400000000000002
BOR;anjou;29/09/1997;5.0;17.0;55.0;0.0;65.5;17.6428571428571;213.6;6.3;4.99;11.400000000000006;-0.75;-0.6499999999999995
BOR;anjou;06/10/1997;6.0;17.0;42.2;4.5;74.07;16.8571428571429;224.1;5.6;4.46;10.5;-0.7000000000000002;-0.5300000000000002
BON;anjou;14/09/1998;2.0;18.0;33.5;22.5;78.21;15.771428571428599;181.7;7.61;4.84;NA;NA;NA
BON;anjou;21/09/1998;3.0;18.0;58.2;3.5;72.57;16.0214285714286;206.8;6.66;4.58;25.100000000000023;-0.9500000000000002;-0.2599999999999998
BON;anjou;28/09/1998;4.0;18.0;37.3;43.5;77.14;17.071428571428598;213.6;5.59;3.61;6.799999999999983;-1.0700000000000003;-0.9700000000000002
BON;anjou;05/10/1998;5.0;18.0;22.3;33.0;81.07;13.642857142857098;222.83;5.41;3.52;9.230000000000018;-0.17999999999999972;-0.08999999999999986
BON;anjou;12/10/1998;6.0;18.0;16.3;12.5;82.93;11.978571428571401;226.4;5.53;3.96;3.569999999999993;0.1200000000000001;0.43999999999999995
SAU;anjou;14/09/1998;2.0;19.0;33.5;22.5;78.21;15.771428571428599;160.4;8.77;6.26;NA;NA;NA
SAU;anjou;21/09/1998;3.0;19.0;58.2;3.5;72.57;16.0214285714286;185.1;7.52;5.9;24.69999999999999;-1.25;-0.35999999999999943
SAU;anjou;28/09/1998;4.0;19.0;37.3;43.5;77.14;17.071428571428598;193.1;6.55;4.61;8.0;-0.9699999999999998;-1.29
SAU;anjou;05/10/1998;5.0;19.0;22.3;33.0;81.07;13.642857142857098;199.94;6.28;4.06;6.840000000000003;-0.2699999999999996;-0.5500000000000007
SAU;anjou;12/10/1998;6.0;19.0;16.3;12.5;82.93;11.978571428571401;204.5;6.13;5.29;4.560000000000002;-0.15000000000000036;1.2300000000000004
VAL;anjou;14/09/1998;2.0;20.0;33.5;22.5;78.21;15.771428571428599;173.7;8.68;6.19;NA;NA;NA
VAL;anjou;21/09/1998;3.0;20.0;58.2;3.5;72.57;16.0214285714286;193.1;7.51;5.3;19.400000000000006;-1.17;-0.8900000000000006
VAL;anjou;28/09/1998;4.0;20.0;37.3;43.5;77.14;17.071428571428598;200.0;6.53;4.84;6.900000000000006;-0.9799999999999995;-0.45999999999999996
VAL;anjou;05/10/1998;5.0;20.0;22.3;33.0;81.07;13.642857142857098;201.96;6.1;4.16;1.960000000000008;-0.4300000000000006;-0.6799999999999997
VAL;anjou;12/10/1998;6.0;20.0;16.3;12.5;82.93;11.978571428571401;207.9;6.16;5.09;5.939999999999998;0.0600000000000005;0.9299999999999997
BLO;anjou;21/09/1998;3.0;21.0;58.2;3.5;72.57;16.0214285714286;177.2;9.12;7.05;NA;NA;NA
BLO;anjou;28/09/1998;4.0;21.0;37.3;43.5;77.14;17.071428571428598;182.8;7.9;5.45;5.600000000000023;-1.2199999999999989;-1.5999999999999996
BLO;anjou;05/10/1998;5.0;21.0;22.3;33.0;81.07;13.642857142857098;191.86;6.87;4.84;9.060000000000002;-1.0300000000000002;-0.6100000000000003
BLO;anjou;12/10/1998;6.0;21.0;16.3;12.5;82.93;11.978571428571401;191.9;6.54;5.38;0.03999999999999204;-0.33000000000000007;0.54
BOR;anjou;21/09/1998;3.0;22.0;58.2;3.5;72.57;16.0214285714286;186.3;8.74;6.72;NA;NA;NA
BOR;anjou;28/09/1998;4.0;22.0;37.3;43.5;77.14;17.071428571428598;189.7;7.72;5.83;3.3999999999999773;-1.0200000000000005;-0.8899999999999997
BOR;anjou;05/10/1998;5.0;22.0;22.3;33.0;81.07;13.642857142857098;194.22;7.11;5.37;4.52000000000001;-0.6099999999999994;-0.45999999999999996
BOR;anjou;12/10/1998;6.0;22.0;16.3;12.5;82.93;11.978571428571401;203.3;6.97;5.92;9.080000000000013;-0.14000000000000057;0.5499999999999998
